WKT,name,description
POINT (-73.8775624 45.4951614),CON-IB,
,,
POINT (-73.8909648 45.4414387),CON-LALO-CSJ,
,,
POINT (-73.9179412 45.4173296),CON-Fritz,
POINT (-73.7519011 45.4965908),CON-BDL,
,,
POINT (-73.5436691 45.4664913),CON-ADA,
POINT (-73.5704127 45.4633526),CON-AT,
POINT (-73.5979399 45.5300438),CON-P-M,
POINT (-73.6149325 45.5511963),CON-FB-SS,
,,
POINT (-73.4880969 45.6927921),CON-PaP-CG,
,,
POINT (-73.8490918 45.4322582),CON-CENTENNIAL,
POINT (-73.520589 45.6014942),CON-P-B,
POINT (-73.5592743 45.541146),CON-LAL-LAF-JAR,
POINT (-73.531138 45.585913),CON-LAF-BAL,
,,
POINT (-73.6379048 45.4680463),CON-BEN,
POINT (-73.6177218 45.449414),CON-ANG,
POINT (-73.5612339 45.4854881),CON-MB-SG,
,,
POINT (-73.5619042 45.597572),CON-F-L,
,,
POINT (-73.7140008 45.5183433),CON-BDS,
